名称,中译名,年份,平台,推荐指数,添加时间
13 Sentinels: Aegis Rim,十三机兵防卫圈,2019,NS,10,2023年或以前
Baba Is You,巴巴是你,2019,PC,10,2023年或以前
Cytus,音乐世界,2012,Mobile,10,2023年或以前
Cytus II,音乐世界II,2018,Mobile,10,2023年或以前
Detroit: Become Human,底特律：化身为人,2018,PC,10,2023年或以前
Factorio,异星工厂,2016,PC,10,2023年或以前
FINAL FANTASY VII REMAKE,最终幻想VII 重制,2020,PC,10,2023年或以前
Metal Slug 3,合金弹头3,2000,Arcade,10,2023年或以前
Minecraft,我的世界,2009,PC,10,2023年或以前
NieR: Automata,尼尔：自动人形,2017,PC,10,2023年或以前
Night in the Woods,林中之夜,2017,PC,10,2023年或以前
Pokémon Platinum,宝可梦 白金,2008,NDS,10,2023年或以前
ゼルダの伝説 Tears of the Kingdom,塞尔达传说 王国之泪,2023,NS,10,2023年或以前
7 Billion Humans,70亿人类,2018,PC,9,2023年或以前
ANIMAL WELL,动物井,2024,PC,9,2024年
Balatro,小丑牌,2024,PC,9,2024年
Chunithm NEW!!,中二节奏NEW!!,2021,Arcade,9,2023年或以前
Control,控制,2019,PC,9,2023年或以前
Cytus α,音乐世界α,2019,NS,9,2023年或以前
DEATH STRANDING,死亡搁浅,2019,PC,9,2023年或以前
DEEMO,古树旋律,2013,Mobile,9,2023年或以前
Doodle God,涂鸦上帝,2010,Mobile,9,2023年或以前
Enter the Gungeon,枪弹地牢,2016,PC,9,2023年或以前
FINAL FANTASY VII REBIRTH,最终幻想VII 重生,2024,PS5,9,2024年
Genesis Noir,黑色起源,2021,PC,9,2023年或以前
Hades,哈迪斯,2018,PC,9,2023年或以前
Her Story,她的故事,2015,PC,9,2024年
Hi-Fi RUSH,完美音浪,2023,PC,9,2023年或以前
Inscryption,邪恶冥刻,2021,PC,9,2023年或以前
Leap Year,闰跃之年,2024,PC,9,2024年
Little Nightmares II,小小梦魇II,2021,PC,9,2023年或以前
maimai DX,舞萌DX,2019,Arcade,9,2023年或以前
Mario Party Superstars,马力欧派对 超级巨星,2021,NS,9,2023年或以前
Metal Slug 6,合金弹头6,2006,PS2,9,2023年或以前
Metal Slug X,合金弹头X,1999,Arcade,9,2023年或以前
